freq_hz,mean_abs_shap
1.43,0.412503
3.29,0.350801
5.15,0.330199
7.01,0.282744
8.87,0.305173
10.73,0.277169
12.59,0.484655
14.45,0.408738
16.30,0.265107
18.16,0.260788
20.02,0.265578
21.88,0.237403
23.74,0.250760
25.60,0.261217
27.46,0.294659
29.32,0.252758
31.18,0.260526
33.04,0.246792
34.90,0.196020
36.76,0.174184
38.62,0.182753
40.48,0.165785
42.34,0.227967
44.20,0.216453
46.05,0.301617
47.91,0.274747
49.77,0.273039
51.63,0.257204
53.49,0.277387
55.35,0.198193
57.21,0.237035
59.07,0.346404
