f1_block,f2_block_0,f2_block_1,f2_block_2,f2_block_3,f2_block_4,f2_block_5,f2_block_6,f2_block_7
0,0.262567,0.121419,0.146839,0.137520,0.107772,0.095727,0.101623,0.088245
1,0.163678,0.095664,0.127847,0.116045,0.109023,0.121461,0.083983,0.082309
2,0.197499,0.136756,0.144291,0.168104,0.100556,0.082792,0.071193,0.111277
3,0.174335,0.127163,0.100049,0.139161,0.160080,0.162020,0.109167,0.133425
4,0.164537,0.140693,0.132994,0.119349,0.138607,0.124047,0.105644,0.101255
5,0.176803,0.144455,0.121516,0.136087,0.154293,0.151033,0.136585,0.132952
6,0.140800,0.121004,0.127761,0.110528,0.152592,0.159967,0.113380,0.131604
7,0.130979,0.124200,0.131975,0.109089,0.089982,0.075761,0.120393,0.121103
