lead,mean_abs_shap,share
I,12.251105,0.0671
II,9.106018,0.0499
III,9.567844,0.0524
aVR,9.117971,0.0499
aVL,15.230473,0.0834
aVF,13.789149,0.0755
V1,25.480651,0.1396
V2,27.829422,0.1524
V3,18.606949,0.1019
V4,18.941143,0.1037
V5,11.550135,0.0633
V6,11.101581,0.0608
